gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160255	60157.30379002324	3.1331405163528405	0.14605940835021802	21.451137942721672	4.4561688879969715e-102	1.0204626753513064e-99
ENSG00000156265	31990.45690855736	3.0020119594216106	0.14616802657401087	20.538089141550863	9.83568007141273e-94	1.1261853681767577e-91
ENSG00000180509	35047.496600132756	3.2336121744162436	0.1709644868833499	18.913940745030615	8.756212953505979e-80	6.68390922117623e-78
ENSG00000142192	47700.1756942099	3.092160133063063	0.1824367647116803	16.949216008899608	1.950372095484456e-64	1.116588024664851e-62
ENSG00000183527	7913.298380534019	2.8346859663752375	0.16915770546617018	16.757652029881346	4.979023971309698e-63	2.2803929788598416e-61
ENSG00000159128	10519.818330060141	2.496235863969859	0.15374228105627036	16.236495561401394	2.7837963454488057e-59	1.0624822718462942e-57
ENSG00000142168	6494.970814688301	2.9855869644640407	0.22418460606337595	13.317537795704085	1.8304523088985261e-40	5.988193981968036e-39
ENSG00000160307	4690.024560875385	3.35862636070204	0.286533540594371	11.721581891373248	9.880948472723575e-32	2.8284215003171232e-30
ENSG00000159197	1665.5365758126552	2.2393380859761933	0.2033662555095533	11.011355253433372	3.36897330597912e-28	8.572165411880205e-27
ENSG00000160284	7006.260440981632	3.4501841805551354	0.5545623881264539	6.221453626184992	4.925697536713379e-10	1.1279847359073636e-8
ENSG00000183421	2747.2405430902973	-0.6359351425238421	0.17994448764877133	-3.534062925923612	4.0922363894478413e-4	0.008519292119850506
ENSG00000166265	1156.2642990902766	-0.6739535246009842	0.2088390389461745	-3.227143392355329	0.001250327848540792	0.023860423109653445
ENSG00000156256	5806.375792173633	-0.44488106093029856	0.14672758777035652	-3.0320205469920376	0.002429226677255721	0.04279176223781232
ENSG00000272804	578.1640382203188	-1.0483283613813368	0.35679420551112034	-2.9381877429303236	0.003301370362218564	0.05400098663914651
ENSG00000154736	2764.2203085793553	-0.6494967445124509	0.22774190393713087	-2.85189828171344	0.0043459004862826745	0.06634741409058217
ENSG00000184900	2641.882514099937	0.5400947057003802	0.19587313870588377	2.7573699449997964	0.005826838722737693	0.08339662921918323
ENSG00000285815	1192.3127312184408	-0.5565481624953136	0.2150883371362871	-2.58753296392201	0.009666594600505703	0.13021471550092978
ENSG00000275464	3626.0685276786303	-0.4496810686853093	0.1788434841166772	-2.514383293897015	0.011924076087885916	0.1517007457847708
ENSG00000154721	4214.640227479739	-0.46758766914246747	0.19165038476269683	-2.4397950973145113	0.014695594662861503	0.17712058830501495
ENSG00000184351	193.2178620682286	0.9788738629685825	0.41645643231877966	2.3504832366697515	0.01874905216708556	0.20831560081128847
ENSG00000142178	2034.0758188983227	0.5082735262887971	0.2168854487952739	2.3435114209463404	0.01910317736697405	0.20831560081128847
ENSG00000157542	8980.003921152429	0.40810253193531926	0.1810050050851504	2.254647774758135	0.024155446171619722	0.245110108899877
ENSG00000156284	755.6328691101429	-0.6257374219695282	0.2785115126322757	-2.2467201303656763	0.024657918910170797	0.245110108899877
ENSG00000156282	399.59132750589026	-0.8588810890273071	0.3849947640985316	-2.2308903110367857	0.02568839569256353	0.245110108899877
ENSG00000160213	3466.9206807584596	0.463160530409809	0.22633554998733083	2.0463445995811727	0.040722478598594666	0.3730179039631272
ENSG00000160282	4489.252975826528	0.337693537610969	0.17095342124298443	1.9753540768920248	0.04822798041370492	0.4094713535366614
ENSG00000186965	136.91542878758617	-0.9388067868575265	0.47536670008197907	-1.9749107093442286	0.048278281858034316	0.4094713535366614
ENSG00000184724	162.0420243498039	0.8454290253842391	0.4371040230731013	1.9341597897918443	0.053093484568724036	0.43422885593706445
ENSG00000205929	1291.5333387358517	-0.3915059462009377	0.20909372290021142	-1.8723945452335808	0.06115203913960277	0.47772637310188365
ENSG00000171189	8602.922690484756	-0.3167102494644617	0.1712778202231328	-1.8491025227426778	0.06444301018949895	0.47772637310188365
ENSG00000160214	4552.826108743646	0.3181675934010022	0.1722124213885032	1.8475298752302596	0.06467038238497115	0.47772637310188365
ENSG00000160216	13268.702688511057	0.2915821263079508	0.16084018761904795	1.8128686034523087	0.06985208972166837	0.4851308686659305
ENSG00000205670	1965.559584131047	0.40641784966971756	0.22423111038400945	1.8124953712876961	0.06990968849771051	0.4851308686659305
ENSG00000142182	1437.71612675854	0.4366455642336898	0.256786640722811	1.7004216535743695	0.08905164167931295	0.5325785771661664
ENSG00000154734	4209.096171367173	-0.3123891157263108	0.18498411193964515	-1.6887348456619569	0.09127025473967898	0.5325785771661664
ENSG00000159082	13439.735108761939	0.2846916077155585	0.1691649048145815	1.6829235829240332	0.09238988561498362	0.5325785771661664
ENSG00000156239	3402.9177736135016	-0.39979718275986276	0.23779654056837227	-1.6812573547297311	0.09271293734687122	0.5325785771661664
ENSG00000183778	7337.99542607297	-0.29260401813309833	0.17533551876621706	-1.6688234089251521	0.09515238205887903	0.5325785771661664
ENSG00000244362	175.61852390567032	0.7165226790748681	0.42974193948100786	1.6673324459330185	0.09544831838599457	0.5325785771661664
ENSG00000156299	8645.46934765587	0.2734123931113312	0.164438625177716	1.6627017698295792	0.09637214777359274	0.5325785771661664
ENSG00000205581	7601.942778870095	0.2654419274327416	0.15989753482005323	1.6600751708365407	0.09689933115401089	0.5325785771661664
ENSG00000159263	4655.3212237062735	-0.37313127838720717	0.22529149007894647	-1.6562155909948253	0.09767816699117463	0.5325785771661664
ENSG00000185437	2334.775359089395	0.3972332299227024	0.2476117234758853	1.6042585720356193	0.10865706876920518	0.5786620639104183
ENSG00000182240	6917.230035165003	-0.3680677586215896	0.23332615376107213	-1.5774817897118123	0.11468470898709159	0.5968817808646357
ENSG00000244025	206.18704463572053	0.7595360277850759	0.4885979597394464	1.5545214887718974	0.12006007495913194	0.6109723814586936
ENSG00000186866	8023.8147859259325	-0.25551167567785654	0.16800637404568974	-1.5208451294137777	0.12829870627095963	0.6360931235589259
ENSG00000205445	534.1480943535261	0.46431355495950366	0.309251245216256	1.5014120788254686	0.13324901165763092	0.6360931235589259
ENSG00000277277	617.265868849699	0.5745450621497261	0.384950049888856	1.4925184769182667	0.13556327713026817	0.6360931235589259
ENSG00000160233	2199.9921838963305	0.47760536106834356	0.3204448029110986	1.490445021200254	0.13610726224623307	0.6360931235589259
ENSG00000177692	2184.118180787945	-0.2682260589640532	0.18525156481939362	-1.4479017179992704	0.14764453911877295	0.6762119891639802
ENSG00000160221	5500.9238534990745	-0.22960488214295696	0.16061386439141556	-1.4295458428383896	0.15284740864352686	0.6863148348895618
ENSG00000142149	3849.888739356561	0.27835195088178283	0.19874123666328958	1.400574714916215	0.16134128647910415	0.7105222039175934
ENSG00000221837	757.8455525330372	-0.3950015640572065	0.2997201067617777	-1.3179014525413872	0.1875366394077239	0.7932642775116848
